spindle_current_mean_5min,spindle_power_mean_5min,feed_velocity_mean_5min,spindle_current_max_5min,feed_velocity_max_5min,spindle_current_mean_1min,spindle_power_mean_1min,feed_velocity_mean_1min,spindle_current_mean_10min,spindle_power_mean_10min,interaction_current_x_power,power_efficiency_ratio,power_efficiency_10min,tool_condition,device_id
40.2106,0.239,13.4485,40.2106,13.4485,40.2106,0.239,13.4485,40.2106,0.239,9.6103334,0.005942228609220151,0.005942228609220151,1,1
33.99065,0.27635,12.58165,40.2106,13.4485,27.7707,0.3137,11.7148,33.99065,0.27635,9.3933161275,0.008127785792330441,0.008127785792330441,1,1
29.236633333333334,0.27343333333333336,10.072033333333334,40.2106,13.4485,19.7286,0.2676,5.0528,29.236633333333334,0.27343333333333336,7.994270107777779,0.009349224241194713,0.009349224241194713,1,1
30.21365,0.2455,10.673775,40.2106,13.4485,33.1447,0.1617,12.479,30.21365,0.2455,7.417451075,0.008122778023170596,0.008122778023170596,1,1
27.68216,0.2646,11.23708,40.2106,13.4903,17.5562,0.341,13.4903,27.68216,0.2646,7.324699536,0.009555050960271788,0.009555050960271788,1,1
29.75508,0.27214,11.593440000000001,50.5752,15.2303,50.5752,0.2767,15.2303,31.497666666666664,0.26661666666666667,8.0975474712,0.009142928559237871,0.008461961638966177,1,1
28.16612,0.2528,11.88264,50.5752,15.2303,19.8259,0.217,13.1608,29.83027142857143,0.25952857142857144,7.120395136000001,0.008972136688798885,0.008697259073189204,1,1
28.220575,0.284275,12.5991,50.5752,15.2303,24.925,0.3024,8.515,29.2171125,0.2648875,8.022403958125,0.010069755929519678,0.009063074568177065,1,1
26.182933333333335,0.25516666666666665,11.596499999999999,33.7979,13.1608,33.7979,0.2461,13.1137,28.415525000000002,0.26577500000000004,6.681011822222223,0.009741813313514584,0.00934987128645821,1,1
30.48006666666667,0.25643333333333335,9.838166666666666,33.7979,13.1137,32.7173,0.2208,7.8858,29.03385,0.2541625,7.816105095555557,0.00841038939457878,0.008750992034458241,1,1
26.90365,0.26045,10.552075,33.7979,13.1137,16.1744,0.2725,12.6938,28.589575,0.254775,7.0070556425,0.009677245561267239,0.00890834916253126,1,1
28.372775,0.26145,13.19605,33.7979,19.0909,30.8015,0.3064,19.0909,28.296675,0.2728625,7.418062023750001,0.009211572864175543,0.009639510822094082,1,1
22.398,0.2797,13.350275,32.7173,19.0909,9.8988,0.3191,13.7306,24.02011428571429,0.26918571428571425,6.2647206,0.012482149232416993,0.01120201556618243,1,1
18.4341,0.29133333333333333,17.435166666666667,30.8015,19.484,14.602,0.2485,19.484,23.273842857142856,0.27368571428571425,5.3704678,0.015795475698642564,0.011754318905384418,1,1
19.145666666666667,0.2728333333333333,18.552333333333333,32.9362,22.4424,32.9362,0.2509,22.4424,24.418299999999995,0.2663285714285714,5.223576055555555,0.01424295682739659,0.010902460319734547,1,1
19.607725,0.266975,15.795625000000001,32.9362,22.4424,20.9939,0.2494,7.5255,23.99025,0.2642125,5.234772381875,0.013608866471520016,0.011008739492296955,1,1
25.984325000000002,0.24717500000000003,16.464175,35.4052,22.4424,35.4052,0.2399,16.4048,24.191162499999997,0.2634375,6.422675531875002,0.009508806249056284,0.010885324207049971,1,1
24.205000000000002,0.25728,15.883020000000002,35.4052,22.4424,17.0877,0.2977,13.5584,22.2374625,0.27305,6.2274624,0.010624819326863513,0.012273309821288608,1,1
25.426920000000003,0.26918000000000003,15.23882,35.4052,22.4424,20.7116,0.308,16.263,22.8046125,0.2774875,6.844418325600001,0.010582256027852429,0.012162709316233181,1,1
26.57946,0.27172,13.3649,38.6989,16.4048,38.6989,0.2636,13.0728,23.7917875,0.27213750000000003,7.2221708712,0.010219086811089807,0.01143349002674694,1,1
28.72298,0.26776,13.32012,38.6989,16.4048,31.7115,0.2296,7.3016,24.671755555555556,0.2674111111111111,7.6908651248,0.009318908097941806,0.01083436348395891,1,1
21.327640000000002,0.27454,12.56748,38.6989,16.263,-1.5715,0.2738,12.6416,23.397277777777777,0.26237777777777777,5.855290285600001,0.012866465082361497,0.01120923929167329,1,1
22.32788,0.26368,13.183700000000002,38.6989,16.6395,22.0889,0.2434,16.6395,23.26644,0.26048,5.887415398400001,0.011804164047796837,0.011190714731290522,1,1
21.2955,0.26954,12.836400000000001,38.6989,16.6395,15.5497,0.3373,14.5265,23.36121,0.26936,5.73998907,0.012651193353828822,0.011525291159507787,1,1
15.204760000000002,0.26816,15.608920000000001,31.7115,26.9354,8.2452,0.2567,26.9354,20.892110000000002,0.26994,4.0773084416000005,0.01762499046978066,0.012914485666758043,1,1
14.81402,0.26974,16.49774,29.7578,26.9354,29.7578,0.2375,11.7457,21.7685,0.26875,3.9959337547999993,0.018196143826033694,0.012340151984755606,1,1
19.28138,0.27931999999999996,17.6452,29.7578,26.9354,20.7653,0.3217,18.3789,20.30451,0.27693,5.385675061599999,0.014479005649155215,0.013632127971582872,1,1
18.256,0.29786,18.646340000000002,29.7578,26.9354,16.962,0.3361,21.6452,20.29194,0.28076999999999996,5.43773216,0.01630679951823059,0.013829712825473819,1,1
22.92676,0.26914000000000005,18.098580000000002,38.9035,26.9354,38.9035,0.1937,11.7877,22.11113,0.26934,6.170508186400001,0.011734002535667636,0.012175689035777105,1,1
29.68698,0.2789,15.644479999999998,42.0463,21.6452,42.0463,0.3055,14.6649,22.44587,0.27353,8.279698722,0.009391527353959896,0.01218077945766519,1,1
28.000400000000003,0.26926,16.69278,42.0463,21.6452,21.3249,0.1893,16.9872,21.40721,0.2695,7.539387704000001,0.009612858081284092,0.012583338352661249,1,1
30.084500000000002,0.2536,15.55258,42.0463,21.6452,31.1858,0.2434,12.6779,24.682940000000002,0.26646000000000003,7.629429200000001,0.00842678894814667,0.010790938624562324,1,1
29.917140000000007,0.24676,12.91652,42.0463,16.9872,16.1252,0.3019,8.4649,24.086570000000002,0.27230999999999994,7.382353466400002,0.008245358560824721,0.011300778492540636,1,1
22.889375,0.250825,14.164575000000001,31.1858,18.5283,22.9216,0.2687,18.5283,26.66582222222222,0.2664222222222222,5.741227484375001,0.010953355713856819,0.00998740432451525,1,1
